Components,Quantity,Link
HC-SR04 Ultrasonic Sensor,1,https://robu.in/product/hc-sr04-ultrasonic-range-finder/
"0.96"" OLED Display (I2C SSD1306)",1,https://robu.in/product/0-96-inch-oled/
Arduino Uno,1,https://quartzcomponents.com/products/uno-r3-atmega328p-compatible-development-board-dip-version-without-cable?variant=44519339983082&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopfFQTKBh12kCdMNb4kZqO-JY3gPRqDO9Wc5vD54Duke1AC1KMfqlE
Jumper Wires(Female to male),4,https://quartzcomponents.com/products/jumper-wire-combo-m-to-m-m-to-f-f-to-f
Jumper Wires(Male to male),6,
,,
,,
,,
,,
,,
,,
,,
,,
,,
